catalogue_entry,titles_names,catalog level,classification1,classification2,Material,description_notes,inscription/ marks,measurements,Exhibition_hall,periods,find spot,creator,ownership,collecting history,contributor_type,location,photo,Unnamed: 19,Unnamed: 20
416,DAGGER、,item,Bronze,Weapons,metalwork; bronze,with openwork handle,,L. 24.7 cm,2 Warring States Han Dynasty Wei Sculpture,Warring States,,,"D. DAVID-WEILL, Paris",,private,"Paris, France",,,
417,CUP,item,Metals,,metalwork; silver,Japanese National Treasure B,,W. 14.9 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"MARQUIS GORYU HOSOKAWA, Tokyo",,private,"Tokyo, Japan",yes,,
418,CUP,item,Metals,,metalwork; silver,Japanese National Treasure B,,W. 10.9 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"MARQUIS GORYU HOSOKAWA, Tokyo",,private,"Tokyo, Japan",yes,,
419,TÊNG (lamp),item,Bronze,Furnishings,metalwork; bronze,,,H. 24.4 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"THE GERMAN STATE MUSEUMS, Berlin",,museum,"Berlin, Germany",yes,,
420,TUBE,item,Bronze,Tools,metalwork; bronze,inlaid with silver,,L. 24.5 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,THE BRITISH MUSEUM (Eumorfopoulos Collection),,museum,"London, U.K.",yes,,
421,PAIR OF ORNAMENTAL SLEEVE WEIGHTS,set,Bronze,Costume Acessories,metalwork; bronze,,,Di. 6.8 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,THE GOVERNMENT OF CHOSEN (KOREA),,government,Korea,yes,,
422,MIRROR,item,Bronze,Furnishings,metalwork; bronze,with curved bow forms and diaper ground,,Di. 20.4 cm,2 Warring States Han Dynasty Wei Sculpture,Warring States,,,"DR. LAGRELIUS, Stockholm",,private,"Stockholm, Sweden",,,
423,HALBERD (ko),item,Bronze,Weapons,metalwork; bronze,with gold inlay,,W. 30.2 cm,2 Warring States Han Dynasty Wei Sculpture,Warring States,,,"OSCAR RAPHAEL, London",,private,"London, U.K.",yes,,
424,MIRROR,item,Bronze,Furnishings,metalwork; bronze,,,Di. 11.6 cm,2 Warring States Han Dynasty Wei Sculpture,Warring States,,,"A. STOCLET, Brussels",,private,"Brussels, Belgium",yes,,
425,MIRROR,item,Bronze,Furnishings,metalwork; bronze,with T-patterns,,Di. 12.5 cm,2 Warring States Han Dynasty Wei Sculpture,Warring States,,,"DR. LAGRELIUS, Stockholm",,private,"Stockholm, Sweden",yes,,
426,PO SHAN LU (censer),item,Bronze,Furnishings,metalwork; bronze,,,H. 20 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,THE GOVERNMENT OF CHOSEN (KOREA),,government,Korea,yes,,
427,HU (wine vessel) and cover with suspension chain,item,Bronze,Containers,metalwork; bronze,Plated with gold and silver,Inscribed,H. 36 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"C. T. LOO, Paris",,private,"Paris, France",yes,,
428,LEOPARD,item,Bronze,Sculptures,metalwork; bronze,,,H. 12.2 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"A. STOCLET, Brussels",,private,"Brussels, Belgium",yes,,
429,LAMP,item,Bronze,Furnishings,metalwork; bronze,,,H. 22.5 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"C. T. LOO, Paris",,private,"Paris, France",,,
430,HALBERD (ko),item,Bronze,Weapons,metalwork; bronze,with bird decoration,,L. 19 cm,2 Warring States Han Dynasty Wei Sculpture,Warring States,,,H.R.H. THE CROWN PRINCE OF SWEDEN,,private,"Stockholm, Sweden",yes,,
431,BUCKLE,item,Bronze,Others,metalwork; bronze,with male figure,,L. 5.2 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"MUSÉE DU LOUVRE, Paris",,museum,"Paris, France",,,
432,HU (wine vessel) and cover,item,Bronze,Containers,metalwork; bronze,Inlaid with copper,Inscribed,H. 38 cm,2 Warring States Han Dynasty Wei Sculpture,Warring States,,,"THE GERMAN STATE MUSEUMS, Berlin",,museum,"Berlin, Germany",,,
433,LARGE DISK,item,Bronze,Containers,metalwork; bronze,,,Di. 28.5 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"D. DAVID-WEILL, Paris",,private,"Paris, France",yes,,
434,VASE,item,Ceramics,pottery,ceramics; pottery,"with bands of incised ornament in a polished ground, black pottery",,H. 40.5 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,THE BRITISH MUSEUM (Eumorfopoulos Collection),,museum,"London, U.K.",yes,,
435,"LIEN (casket) and cover, with chain handle",item,Bronze,Containers,metalwork; bronze,,,H. 20 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,"Found at Lo-lang, N. Korea",,THE GOVERNMENT OF CHOSEN (KOREA),,government,Korea,yes,,
436,RECTANGULAR PILLOW,item,Stones and Minerals,Utilitarian Objects,stones; steatite,,,"H. 11.8 cm, W. 13.6 cm",2 Warring States Han Dynasty Wei Sculpture,Six Dynasties,,,THE KYOTO IMPERIAL UNIVERSITY,,private,"Tokyo, Japan",yes,,
437,STAFF FINIAL,item,Bronze,Tools,metalwork; bronze,in bird-head form,,H. 14 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,H.R.H. THE CROWN PRINCE OF SWEDEN,,private,"Stockholm, Sweden",yes,,
438,JAR (cha tou),item,Bronze,Containers,metalwork; bronze,,,H. 10.5 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,"Found at Lo-lang, N. Korea",,THE GOVERNMENT OF CHOSEN (KOREA),,government,Korea,yes,,
439,TOP OF A COMB,item,Bronze,Tools,metalwork; bronze,,,H. 8.5 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"A. HELLSTRÖM, Mölndal, Sweden",,private,"Malmö, Sweden",yes,,
440,MIRROR,item,Bronze,Furnishings,metalwork; bronze,,,Di. 19 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"A. HELLSTRÖM, Mölndal, Sweden",,private,"Malmö, Sweden",yes,,
441,MIRROR,item,Bronze,Furnishings,metalwork; bronze,,,Di. 18 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"M. CALMANN, Paris",,private,"Paris, France",yes,,
442,DEATH MASK,item,Bronze,Ornament,metalwork; bronze,,,H. 22 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,THE KYOTO IMPERIAL UNIVERSITY,,private,"Tokyo, Japan",yes,,
443,LIEN (casket) and cover,item,Bronze,Containers,metalwork; bronze,"Painted inside and on base,",,H. 21 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"THE GERMAN STATE MUSEUMS, Berlin",,museum,"Berlin, Germany",yes,,
444,DRAGON BIRD,item,Bronze,Sculptures,metalwork; bronze,,,H. 6.5 cm,2 Warring States Han Dynasty Wei Sculpture,Six Dynasties,,,"M. CALMANN, Paris",,private,"Paris, France",,,
445,MIRROR,item,Bronze,Furnishings,metalwork; bronze,,,Di. 22 cm,2 Warring States Han Dynasty Wei Sculpture,Warring States,,,"M. CALMANN, Paris",,private,"Paris, France",yes,,
446,TING (caldron),item,Bronze,Containers,metalwork; bronze,Cover missing,,H. 22.8 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,"Found at Lo-lang, N. Korea",,THE GOVERNMENT OF CHOSEN (KOREA),,government,Korea,yes,,
447&458,PANEL,set,Ceramics,pottery,ceramics; clay,"incised with horse and tree, Pair with No. 458, grey clay",,40.7 by 44.4 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"MR. AND MRS. WALTER SEDGWICK, London",,private,"London, U.K.",yes,,
448,VASE,item,Ceramics,pottery,ceramics; pottery,green glazed pottery,,H. 44.4 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"OSCAR RAPHAEL, London",,private,"London, U.K.",yes,,
449,MIRROR,item,Bronze,Furnishings,metalwork; bronze,with interlaced designs,,Di. 17.9 cm,2 Warring States Han Dynasty Wei Sculpture,Warring States,,,"RAYMOND A. BIDWELL, Springfield, Mass",,private,"Massachusetts, U.S.A.",yes,,
450,GOBLET,item,Ceramics,pottery,ceramics; earthenware,earthenware with green glaze,,H. 14.3 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,H.R.H. THE CROWN PRINCE OF SWEDEN,,private,"Stockholm, Sweden",yes,,
451,COVERED BOWL,item,Ceramics,pottery,ceramics; pottery,"with reliefs in the cover, red pottery with green glaze",,H. 16.5 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,THE BRITISH MUSEUM (Eumorfopoulos Collection),,museum,"London, U.K.",yes,,
452,MIRROR,item,Bronze,Furnishings,metalwork; bronze,,Inscribed,Di. 18.5 cm,2 Warring States Han Dynasty Wei Sculpture,Warring States,,,"MUSÉE GUIMET, Paris",,private,"Paris, France",yes,,
453,CANDLESTICK,item,Ceramics,pottery,ceramics; pottery,"with stem in form of a bear, red pottery with green glaze",,H. 40.1 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,THE BRITISH MUSEUM (Eumorfopoulos Collection),,museum,"London, U.K.",yes,,
454,JAR AND COVER,item,Ceramics,pottery,ceramics; pottery,"of bronze form, with mask handles and bands of interlacing ornament in relief in late Chou style, red pottery, Green glaze",,H. 19.7 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"THE WILLIAM ROCKHILL NELSON GALLERY OF ART, Kansas City",,museum,"Kansas, U.S.A.",yes,,
455,MIRROR,item,Bronze,Furnishings,metalwork; bronze,with square framed inscription,Inscribed,Di. 18.3 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"RAYMOND A. BIDWELL, Springfield, Mass",,private,"Massachusetts, U.S.A.",yes,,
456,MIRROR,item,Bronze,Furnishings,metalwork; bronze,,,Di. 18.5 cm,2 Warring States Han Dynasty Wei Sculpture,Warring States,,,"A. STOCLET, Brussels",,private,"Brussels, Belgium",yes,,
457,LIEN (casket) and cover,item,Bronze,Containers,metalwork; bronze,,,H. 21.5 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,"Found at Lo-lang, N. Korea",,THE GOVERNMENT OF CHOSEN (KOREA),,government,Korea,yes,,
447&458,PANEL,,Ceramics,pottery,ceramics; clay,"incised with horse and tree, Pair with No. 447, grey clay",,40.7 by 44.4 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"MR. AND MRS. WALTER SEDGWICK, London",,private,"London, U.K.",yes,,
459,GRANARY JAR,item,Ceramics,pottery,ceramics; pottery,"of cylindrical form with bear feet, green glaze",,H. 37 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"S. D. WINKWORTH, Walton-on-the-Hill, Surrey",,private,"Surrey, U.K.",yes,,
460,BOWING FIGURE,item,Ceramics,pottery,ceramics; pottery,pottery with green glaze,,H. 12.5 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,THE BRITISH MUSEUM (Eumorfopoulos Collection),,museum,"London, U.K.",yes,,
461,BOWING FIGURE,item,Ceramics,pottery,ceramics; pottery,pottery with green glaze,,H. 10.1 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,THE BRITISH MUSEUM (Eumorfopoulos Collection),,museum,"London, U.K.",yes,,
462,VASE,item,Ceramics,pottery,ceramics; pottery,"with band of reliefs under a streaky green glaze, red pottery",,H. 27.5 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,THE BRITISH MUSEUM (Eumorfopoulos Collection),,museum,"London, U.K.",yes,,
463,COCK,item,Ceramics,pottery,ceramics; pottery,dark-grey pottery with pigment,,H. 22.5 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,THE BRITISH MUSEUM (Eumorfopoulos Collection),,museum,"London, U.K.",yes,,
464,MIRROR,item,Bronze,Furnishings,metalwork; bronze,with elongated dragons on diaper ground,,Di. 14 cm,2 Warring States Han Dynasty Wei Sculpture,Warring States,,,"ÖSTASIATISKA SAMLINGARNA, Stockholm",,museum,"Stockholm, Sweden",yes,,
465,MIRROR,item,Bronze,Furnishings,metalwork; bronze,,Inscribed,Di. 13.2 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"M. CALMANN, Paris",,private,"Paris, France",yes,,
466,BOWL,item,Lacquer,Containers,plant derived materials; lacquer,with painted geometrical design,,Di. 25.4 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"C. T. LOO, Paris",,private,"Paris, France",,,
468,LADLE,item,Lacquer,Containers,plant derived materials; lacquer,,,H. 12 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"OSCAR RAPHAEL, London",,private,"London, U.K.",,,
470,FIGURE OF STANDING WOMAN,item,Organic Materials,,plant derived materials; wood,with traces of lacquer,,H. 45 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"M. CALMANN, Paris",,private,"Paris, France",yes,,
471,MIRROR,item,Bronze,Furnishings,metalwork; bronze,,,Di. 21.5 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"D. DAVID-WEILL, Paris",,private,"Paris, France",yes,,
472,SQUARE MIRROR,item,Bronze,Furnishings,metalwork; bronze,inlaid with malachite,,W. 9.8 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"A. STOCLET, Brussels",,private,"Brussels, Belgium",yes,,
473,MIRROR,item,Bronze,Furnishings,metalwork; bronze,,,Di. 15.2 cm,2 Warring States Han Dynasty Wei Sculpture,Warring States,,,"MR. AND MRS. WALTER SEDGWICK, London",,private,"London, U.K.",yes,,
474,"RELIEF, flying apsara",item,Stones and Minerals,Sculpture,minerals; others; stucco,,,H. 84.4 cm,2 Warring States Han Dynasty Wei Sculpture,Song,,,THE VICTORIA AND ALBERT MUSEUM (Eumorfopoulos Collection),,museum,"London, U.K.",yes,,
475,CARVED SLAB,item,Stones and Minerals,Sculpture,stones; marble,,,88 by 119 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"BARON VON DER HEYDT, Berlin",,private,"Berlin, Germany",yes,,
476,"BUDDHIST FIGURE, Śākyamuni",item,Stones and Minerals,Sculpture,stones; stone,,,H. 120 cm,2 Warring States Han Dynasty Wei Sculpture,Six Dynasties,,,"G. EUMORFOPOULOS, London",,private,"London, U.K.",yes,,
477,CARPET,item,Textile,Furnishings,textiles; wool,,,731.8 by 548.9 cm,2 Warring States Han Dynasty Wei Sculpture,Ming,,,"TEXTILE MUSEUM OF THE DISTRICT OF COLUMBIA, Washington, D.C.",,museum,"Washington, D.C., U.S.A.",yes,,
478,SEATED BUDDHA,item,Stones and Minerals,Sculpture,stones; marble,,,H. 71 cm,2 Warring States Han Dynasty Wei Sculpture,Six Dynasties,,,"OSCAR RAPHAEL, London",,private,"London, U.K.",yes,,
479,SEATED BODHISATTVA,item,Stones and Minerals,Sculpture,stones; stone,From Yün-kang,,H. 131 cm,2 Warring States Han Dynasty Wei Sculpture,Six Dynasties,,,"ROBERT LEHMAN, New York",,private,"New York, U.S.A.",yes,,
480,BUFFALO,item,Jade,Ornamental Objects,gemstones; jade,Brought to Peking by the Emperor Yung-lo in A.D. 1422,,"H. 15 cm, L. 40 cm",2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"OSCAR RAPHAEL, London",,private,"London, U.K.",yes,,
481,BODHISATTVA,item,Stones and Minerals,Sculpture,stones; stone,From the second cave of Lung-mên,,H. 40 cm,2 Warring States Han Dynasty Wei Sculpture,Six Dynasties,,,"M. CALMANN, Paris",,private,"Paris, France",yes,,
482,STANDING BODHISATTVA,item,Stones and Minerals,Sculpture,stones; stone,,,H. 109.2 cm,2 Warring States Han Dynasty Wei Sculpture,Sui and Tang,,,THE VICTORIA AND ALBERT MUSEUM (Eumorfopoulos Collection),,museum,"London, U.K.",yes,,
483,RELIEF,item,Stones and Minerals,Sculpture,minerals; others; stucco,Kuan-yin,,H. 137.2 cm,2 Warring States Han Dynasty Wei Sculpture,Song,,,THE VICTORIA AND ALBERT MUSEUM (Eumorfopoulos Collection),,museum,"London, U.K.",yes,,
484,COLUMN,item,Ceramics,pottery,ceramics; pottery,"with stamped design of hunting scenes, figures and dragons in relief",,H. 124.3 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"MUSÉE DU LOUVRE, Paris",,museum,"Paris, France",yes,,
485,SLAB,item,Ceramics,pottery,ceramics; clay,with incised figures and designs,,93 by 35 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"MUSÉE CERNUSCHI, Paris",,museum,"Paris, France",yes,,
486,VASE,item,Ceramics,pottery,ceramics; pottery,"with design of stags in relief, reddish",,H. 23 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"MUSÉE DU LOUVRE, Paris",,museum,"Paris, France",yes,,
487,MIRROR,item,Bronze,Furnishings,metalwork; bronze,with seven mythical animals,,Di. 18.4 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"DR. LAGRELIUS, Stockholm",,private,"Stockholm, Sweden",,,
488,MIRROR,item,Bronze,Furnishings,metalwork; bronze,,Inscribed,Di. 10 cm,2 Warring States Han Dynasty Wei Sculpture,Six Dynasties,,,"THE NATIONAL MUSEUM, Stockholm",,museum,"Stockholm, Sweden",yes,,
489,DRAGON,item,Bronze,Sculptures,metalwork; bronze,,,L. 65 cm,2 Warring States Han Dynasty Wei Sculpture,Warring States,,,"A. STOCLET, Brussels",,private,"Brussels, Belgium",yes,,
490,MIRROR,item,Bronze,Furnishings,metalwork; bronze,,,Di. 13.9 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"D. DAVID-WEILL, Paris",,private,"Paris, France",yes,,
491,MIRROR,item,Bronze,Furnishings,metalwork; bronze,,Inscribed,Di. 10.2 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"OSCAR RAPHAEL, London",,private,"London, U.K.",yes,,
492,MIRROR,item,Bronze,Furnishings,metalwork; bronze,with seven fabulous animals,Inscribed,Di. 16.4 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"OSCAR RAPHAEL, London",,private,"London, U.K.",yes,,
493,MALE FIGURE,item,Ceramics,pottery,ceramics; pottery,From the Collection of Charles L. Rutherston,,,2 Warring States Han Dynasty Wei Sculpture,Six Dynasties,,,"MRS. C. L. AND MISS RUTHERSTON, Farnham and London",,private,"London, U.K.",yes,,
494&508,BIRD,set,Stones and Minerals,Sculpture,stones; stone,"From T'ien-lung Shan, Pair with No. 508",,H. 37 cm,2 Warring States Han Dynasty Wei Sculpture,Six Dynasties,,,"BARON VON DER HEYDT, Berlin",,private,"Berlin, Germany",,,
495,VASE,item,Ceramics,pottery,ceramics; pottery,with hunting scenes in pigment,,H. 45 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"G. T. VAN DEN BROEK, The Hague",,private,"The Hague, Netherlands",yes,,
496,BOAR,item,Ceramics,pottery,ceramics; pottery,pottery with green glaze,,L. 14.5 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,THE BRITISH MUSEUM (Eumorfopoulos Collection),,museum,"London, U.K.",yes,,
497,BEAR,item,Bronze,Sculptures,metalwork; bronze,,,H. 4.8 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"A. HELLSTRÖM, Mölndal, Sweden",,private,"Malmö, Sweden",yes,,
498,MIRROR,item,Bronze,Furnishings,metalwork; bronze,Made for the Wang family,Inscribed,Di. 20.3 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"RAYMOND A. BIDWELL, Springfield, Mass",,private,"Massachusetts, U.S.A.",yes,,
499,MIRROR,item,Bronze,Furnishings,metalwork; bronze,,,Di. 24.2 cm,2 Warring States Han Dynasty Wei Sculpture,Six Dynasties,,,"H. GINSBERG, Berlin",,private,"Berlin, Germany",yes,,
500,DRAGON,item,Bronze,Sculptures,metalwork; bronze,,,H. 17 cm,2 Warring States Han Dynasty Wei Sculpture,Six Dynasties,,,"MRS. GRACE ROGERS, New York",,private,"New York, U.S.A.",yes,,
501,SOW,item,Bronze,Sculptures,metalwork; bronze,,,H. 5 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"THE GERMAN STATE MUSEUMS, Berlin",,museum,"Berlin, Germany",yes,,
502,LACQUER HORSE,item,Lacquer,Sculpture,plant derived materials; lacquer,with gilt-bronze and jade trappings,,H. 40.7 cm,2 Warring States Han Dynasty Wei Sculpture,Six Dynasties,,,"OSCAR RAPHAEL, London",,private,"London, U.K.",yes,,
503,DOG,item,Ceramics,pottery,ceramics; pottery,red pottery with brown glaze,,H. 16.5 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,THE BRITISH MUSEUM (Eumorfopoulos Collection),,museum,"London, U.K.",yes,,
504,SLEEVE WEIGHT,item,Bronze,Costume Acessories,metalwork; bronze,In the form of a lion,,Di. 7 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"A. HELLSTRÖM, Mölndal, Sweden",,private,"Malmö, Sweden",yes,,
505,GOAT,item,Ceramics,pottery,ceramics; pottery,pottery with green glaze,,H. 8.5 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,THE BRITISH MUSEUM (Eumorfopoulos Collection),,museum,"London, U.K.",yes,,
506,MIRROR,item,Bronze,Furnishings,metalwork; bronze,,,Di. 20.9 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"THE METROPOLITAN MUSEUM OF ART, New York",,museum,"New York, U.S.A.",yes,,
507,JAR,item,Ceramics,stoneware,ceramics; ceramics; stoneware,with impressed wu chu "cash" patterns and greenish-brown glaze,,H. 36.8 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,From the Tuan Fang Collection,,"THE METROPOLITAN MUSEUM OF ART, New York",,museum,"New York, U.S.A.",yes,,
494&508,BIRD,,Stones and Minerals,Sculpture,stones; stone,"From T'ien-lung Shan, Pair with No. 494",,H. 37 cm,2 Warring States Han Dynasty Wei Sculpture,Six Dynasties,,,"BARON VON DER HEYDT, Berlin",,private,"Berlin, Germany",,,
509,BEAR,item,Bronze,Sculptures,metalwork; bronze,,,H. 17.7 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"H. J. OPPENHEIM, London",,private,"London, U.K.",yes,,
510,BEAR,item,Bronze,Sculptures,metalwork; bronze,,,H. 13.6 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"THE CITY ART MUSEUM OF ST. LOUIS, Missouri",,museum,"Missouri, U.S.A.",yes,,
511,BEAR,item,Bronze,Sculptures,metalwork; bronze,,,H. 15.7 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"A. STOCLET, Brussels",,private,"Brussels, Belgium",yes,,
512,VASE,item,Ceramics,pottery,ceramics; pottery,"with bands of ornament in coloured pigment,  black pottery",,H. 16 cm,2 Warring States Han Dynasty Wei Sculpture,Six Dynasties,,,THE BRITISH MUSEUM (Eumorfopoulos Collection),,museum,"London, U.K.",yes,,
513,FROG PAPER WEIGHT,item,Bronze,Tools,metalwork; bronze,,,L. 6.8 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,THE BRITISH MUSEUM (Eumorfopoulos Collection),,private,"London, U.K.",yes,,
514,MIRROR,item,Bronze,Furnishings,metalwork; bronze,with phoenixes,,Di. 17.7 cm,2 Warring States Han Dynasty Wei Sculpture,Warring States,,,"DR. LAGRELIUS, Stockholm",,private,"Stockholm, Sweden",,,
515,MIRROR,item,Bronze,Furnishings,metalwork; bronze,,,Di. 13 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,H.R.H. THE CROWN PRINCE OF SWEDEN,,private,"Stockholm, Sweden",yes,,
516,DRAGON,item,Bronze,Sculptures,metalwork; bronze,,,L. 6.8 cm,2 Warring States Han Dynasty Wei Sculpture,Six Dynasties,,,THE BRITISH MUSEUM (Eumorfopoulos Collection),,private,"London, U.K.",yes,,
517,TILE,item,Ceramics,pottery,ceramics; earthenware,"with scenes in relief, Red and blue pigment, grey earthenware",,42 by 45 cm,2 Warring States Han Dynasty Wei Sculpture,Six Dynasties,,,H.R.H. THE CROWN PRINCE OF SWEDEN,,private,"Stockholm, Sweden",yes,,
